-0.20000, 0.60000,f,captured
-0.20000, 0.60000,f,captured
-0.20000, 0.50000,f,entered
-0.20000, 0.50000,f,entered
-0.20000, 0.55000,f,entered
-0.20000, 0.55000,f,captured
-0.20000, 0.55000,f,captured
-0.20000, 0.55000,f,captured
-0.20000, 0.55000,f,captured
-0.20000, 0.52500,f,entered
-0.20000, 0.52500,f,entered
-0.20000, 0.52500,f,entered
-0.20000, 0.52500,f,entered
0.00000, 0.50000,f,entered
0.00000, 0.70000,f,captured
0.00000, 0.70000,f,captured
0.00000, 0.60000,f,captured
0.00000, 0.55000,f,entered
0.00000, 0.55000,f,captured
0.00000, 0.55000,f,entered
0.00000, 0.55000,f,captured
0.00000, 0.55000,f,entered
0.00000, 0.55000,f,captured
-0.40000, 0.50000,f,entered
-0.40000, 0.50000,f,entered
-0.40000, 0.60000,f,captured
-0.40000, 0.60000,f,captured
-0.40000, 0.55000,f,entered
-0.40000, 0.55000,f,captured
-0.40000, 0.55000,f,captured
-0.40000, 0.55000,f,captured
-0.40000, 0.52500,f,entered
-0.40000, 0.52500,f,captured
-0.40000, 0.52500,f,captured
-0.60000, 0.47500,f,captured
-0.60000, 0.47500,f,captured
-0.60000, 0.47500,f,captured
-0.60000, 0.60000,f,captured
