S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.300
S,0.100
T,4.000
gmm,1.141
D,0.000
de;ta,0.100
S,0.100
T,4.000
gmm,0.941
D,0.000
de;ta,0.100
S,0.100
T,4.000
gmm,0.941
D,0.000
de;ta,0.100
S,0.100
T,4.000
gmm,0.941
D,0.000
de;ta,0.100
S,0.100
T,4.000
gmm,0.941
D,0.000
de;ta,0.100
S,0.100
T,4.000
gmm,0.941
D,0.000
de;ta,0.100
